Timestamp,Strategy,Side,Size(BTC),Price(USD),Value(USD),OrderId
2025-11-22 13:20:15.845,MeanReversion,Buy,0.047000,84152.10,3955.15,3335307
2025-11-22 13:21:03.256,MeanReversion,Buy,0.047000,84149.96,3955.05,3335361
2025-11-22 13:21:54.374,MeanReversion,Sell,0.046000,83903.94,3859.58,3335437
2025-11-22 13:22:45.861,MeanReversion,Sell,0.047000,83905.73,3943.57,3335547
2025-11-22 13:23:52.387,MeanReversion,Buy,0.047000,84146.27,3954.87,3335733
2025-11-22 13:25:05.048,MeanReversion,Buy,0.047000,84063.35,3950.98,3335904
2025-11-22 13:26:02.101,MeanReversion,Buy,0.047000,84039.21,3949.84,3336000
2025-11-22 13:27:35.725,MeanReversion,Buy,0.048000,84029.44,4033.41,3336173
2025-11-22 13:28:59.470,MeanReversion,Sell,0.046000,83777.45,3853.76,3336298
2025-11-22 13:30:36.334,MeanReversion,Sell,0.047000,83778.97,3937.61,3336480
2025-11-22 13:31:24.629,MeanReversion,Sell,0.047000,83779.66,3937.64,3336549
2025-11-22 13:32:28.194,MeanReversion,Buy,0.047000,84016.95,3948.80,3336657
2025-11-22 13:33:17.625,MeanReversion,Buy,0.047000,84014.20,3948.67,3336743
2025-11-22 13:34:39.093,MeanReversion,Sell,0.047000,83649.08,3931.51,3336966
2025-11-22 13:35:28.651,MeanReversion,Sell,0.047000,83653.22,3931.70,3337077
2025-11-22 13:36:23.582,MeanReversion,Buy,0.047000,84007.57,3948.36,3337200
2025-11-22 13:38:31.348,MeanReversion,Buy,0.048000,83974.96,4030.80,3337435
2025-11-22 13:40:28.657,MeanReversion,Buy,0.047000,83969.19,3946.55,3337627
2025-11-22 13:41:47.413,MeanReversion,Buy,0.047000,83964.71,3946.34,3337733
2025-11-22 13:42:34.158,MeanReversion,Sell,0.047000,83661.45,3932.09,3337828
2025-11-22 13:43:53.794,MeanReversion,Sell,0.047000,83664.84,3932.25,3337985
2025-11-22 13:44:41.032,MeanReversion,Sell,0.047000,83685.52,3933.22,3338100
2025-11-22 13:45:27.473,MeanReversion,Sell,0.046000,83702.95,3850.34,3338176
2025-11-22 13:46:12.201,MeanReversion,Sell,0.046000,83703.72,3850.37,3338242
2025-11-22 13:48:05.830,OBI,Buy,0.035000,84015.04,2940.53,3338493
2025-11-22 13:48:55.215,OBI,Buy,0.035000,84041.79,2941.46,3338593
2025-11-22 13:49:02.459,MeanReversion,Sell,0.047000,83990.03,3947.53,3338596
2025-11-22 13:49:52.758,OBI,Buy,0.035000,84152.81,2945.35,3338704
2025-11-22 13:49:53.611,MeanReversion,Sell,0.047000,83957.65,3946.01,3338705
2025-11-22 13:50:23.989,OBI,Buy,0.035000,84109.88,2943.85,3338790
2025-11-22 13:51:30.340,MeanReversion,Sell,0.047000,83829.38,3939.98,3338939
2025-11-22 13:53:16.719,MeanReversion,Buy,0.047000,84102.99,3952.84,3339237
2025-11-22 13:54:10.060,MeanReversion,Buy,0.047000,84099.82,3952.69,3339336
2025-11-22 13:55:38.027,MeanReversion,Buy,0.048000,84095.75,4036.60,3339462
2025-11-22 13:56:45.175,MeanReversion,Buy,0.047000,84092.76,3952.36,3339593
2025-11-22 13:58:47.879,MeanReversion,Buy,0.047000,84087.89,3952.13,3339787
2025-11-22 13:59:43.817,MeanReversion,Sell,0.047000,83833.29,3940.16,3339881
2025-11-22 14:01:05.599,MeanReversion,Sell,0.047000,83836.60,3940.32,3340064
2025-11-22 14:01:56.549,MeanReversion,Sell,0.047000,83907.76,3943.66,3340187
2025-11-22 14:02:58.302,MeanReversion,Sell,0.046000,83921.36,3860.38,3340351
2025-11-22 14:03:58.991,MeanReversion,Sell,0.046000,83924.30,3860.52,3340489
2025-11-22 14:08:49.212,MeanReversion,Buy,0.047000,84371.98,3965.48,3341038
2025-11-22 14:10:53.969,MeanReversion,Buy,0.047000,84266.88,3960.54,3341296
2025-11-22 14:11:43.938,MeanReversion,Sell,0.047000,83987.98,3947.44,3341419
2025-11-22 14:13:43.943,MeanReversion,Sell,0.047000,84037.51,3949.76,3341722
2025-11-22 14:14:18.058,OBI,Buy,0.035000,84376.95,2953.19,3341826
2025-11-22 14:14:36.268,MeanReversion,Sell,0.046000,84246.37,3875.33,3341914
2025-11-22 14:14:59.509,OBI,Buy,0.035000,84458.40,2956.04,3341942
2025-11-22 14:15:50.825,OBI,Buy,0.035000,84593.43,2960.77,3342071
2025-11-22 14:16:04.527,MeanReversion,Sell,0.047000,84440.62,3968.71,3342121
2025-11-22 14:17:33.565,MeanReversion,Buy,0.047000,84714.11,3981.56,3342366
2025-11-22 14:19:16.687,MeanReversion,Sell,0.047000,84243.00,3959.42,3342631
2025-11-22 14:20:05.498,MeanReversion,Buy,0.047000,84702.87,3981.03,3342751
2025-11-22 14:21:08.149,MeanReversion,Sell,0.047000,84277.70,3961.05,3342905
2025-11-22 14:22:15.693,MeanReversion,Buy,0.047000,84692.07,3980.53,3343111
2025-11-22 14:23:52.061,MeanReversion,Buy,0.047000,84681.27,3980.02,3343366
2025-11-22 14:24:41.416,MeanReversion,Buy,0.047000,84624.24,3977.34,3343473
2025-11-22 14:25:51.099,MeanReversion,Sell,0.047000,84286.54,3961.47,3343646
2025-11-22 14:29:08.927,MeanReversion,Buy,0.047000,84728.64,3982.25,3344167
2025-11-22 14:29:58.864,MeanReversion,Buy,0.047000,84727.61,3982.20,3344236
2025-11-22 14:30:54.287,MeanReversion,Buy,0.047000,84725.42,3982.09,3344343
2025-11-22 14:31:53.230,MeanReversion,Buy,0.047000,84723.20,3981.99,3344454
2025-11-22 14:32:50.684,MeanReversion,Buy,0.047000,84721.35,3981.90,3344573
2025-11-22 14:33:37.808,MeanReversion,Buy,0.047000,84721.28,3981.90,3344726
2025-11-22 14:34:56.281,MeanReversion,Buy,0.047000,84718.33,3981.76,3344943
2025-11-22 14:35:52.446,MeanReversion,Buy,0.047000,84715.75,3981.64,3345105
2025-11-22 14:36:44.756,MeanReversion,Buy,0.047000,84711.07,3981.42,3345210
2025-11-22 14:38:44.316,MeanReversion,Buy,0.047000,84707.72,3981.26,3345480
2025-11-22 14:39:30.163,MeanReversion,Sell,0.047000,84423.05,3967.88,3345634
2025-11-22 14:40:46.771,MeanReversion,Buy,0.047000,84690.70,3980.46,3345792
2025-11-22 14:41:59.620,MeanReversion,Buy,0.047000,84689.33,3980.40,3345951
2025-11-22 14:42:45.581,MeanReversion,Buy,0.047000,84688.05,3980.34,3346019
2025-11-22 14:44:00.850,MeanReversion,Buy,0.047000,84631.32,3977.67,3346115
2025-11-22 14:45:15.772,MeanReversion,Buy,0.047000,84628.58,3977.54,3346227
2025-11-22 14:46:03.668,MeanReversion,Buy,0.047000,84591.98,3975.82,3346324
2025-11-22 14:46:56.353,MeanReversion,Buy,0.047000,84518.25,3972.36,3346456
2025-11-22 14:48:19.691,OBI,Sell,0.035000,84292.10,2950.22,3346666
2025-11-22 14:48:46.396,MeanReversion,Sell,0.047000,84292.64,3961.75,3346691
2025-11-22 14:49:42.062,MeanReversion,Sell,0.047000,84293.63,3961.80,3346820
2025-11-22 14:50:26.069,OBI,Buy,0.035000,84509.48,2957.83,3346911
2025-11-22 14:51:29.014,MeanReversion,Buy,0.047000,84693.52,3980.60,3347057
2025-11-22 14:53:20.601,MeanReversion,Buy,0.047000,84684.91,3980.19,3347289
2025-11-22 14:54:54.554,MeanReversion,Buy,0.047000,84682.43,3980.07,3347491
2025-11-22 14:56:32.071,MeanReversion,Buy,0.047000,84677.86,3979.86,3347623
2025-11-22 14:59:00.148,MeanReversion,Buy,0.047000,84672.90,3979.63,3347865
2025-11-22 14:59:51.144,MeanReversion,Buy,0.047000,84670.22,3979.50,3347937
2025-11-22 15:01:08.260,MeanReversion,Buy,0.047000,84667.99,3979.40,3348128
2025-11-22 15:15:08.577,MeanReversion,Sell,0.047000,84282.36,3961.27,3349643
2025-11-22 15:15:55.760,MeanReversion,Buy,0.047000,84532.31,3973.02,3349724
2025-11-22 15:24:47.612,MeanReversion,Sell,0.046000,84294.22,3877.53,3350739
2025-11-22 15:27:14.155,MeanReversion,Buy,0.047000,84561.60,3974.40,3351001
2025-11-22 15:28:43.592,MeanReversion,Sell,0.047000,84300.79,3962.14,3351159
2025-11-22 15:29:31.724,MeanReversion,Buy,0.047000,84559.75,3974.31,3351226
2025-11-22 15:41:35.877,MeanReversion,Sell,0.047000,84029.34,3949.38,3352679
2025-11-22 15:43:51.270,MeanReversion,Buy,0.047000,84264.86,3960.45,3352915
2025-11-22 15:45:47.562,MeanReversion,Sell,0.046000,83901.89,3859.49,3353137
2025-11-22 15:47:22.155,MeanReversion,Buy,0.047000,84247.48,3959.63,3353374
2025-11-22 15:51:31.440,MeanReversion,Sell,0.047000,84031.33,3949.47,3353846
2025-11-22 15:52:32.169,MeanReversion,Buy,0.047000,84243.64,3959.45,3353930
2025-11-22 15:53:58.723,MeanReversion,Sell,0.047000,84033.61,3949.58,3354059
2025-11-22 15:54:02.920,OBI,Buy,0.035000,84242.27,2948.48,3354103
2025-11-22 15:55:43.867,MeanReversion,Sell,0.047000,84034.83,3949.64,3354349
2025-11-22 15:56:09.939,OBI,Buy,0.035000,84240.59,2948.42,3354399
2025-11-22 15:58:14.911,MeanReversion,Sell,0.047000,84036.20,3949.70,3354608
2025-11-22 15:58:19.916,OBI,Buy,0.035000,84239.09,2948.37,3354653
2025-11-22 15:58:54.943,OBI,Buy,0.035000,84238.92,2948.36,3354743
2025-11-22 15:59:03.171,MeanReversion,Sell,0.046000,84037.57,3865.73,3354746
2025-11-22 16:01:08.870,MeanReversion,Sell,0.047000,84052.27,3950.46,3355015
2025-11-22 16:02:21.398,MeanReversion,Sell,0.047000,84074.96,3951.52,3355186
2025-11-22 16:03:08.628,MeanReversion,Sell,0.047000,84076.37,3951.59,3355256
2025-11-22 16:04:28.696,MeanReversion,Sell,0.047000,84078.91,3951.71,3355439
2025-11-22 16:05:19.825,MeanReversion,Buy,0.047000,84439.86,3968.67,3355515
2025-11-22 16:06:54.110,MeanReversion,Sell,0.047000,84081.17,3951.81,3355719
2025-11-22 16:07:40.340,MeanReversion,Sell,0.047000,84082.03,3951.86,3355810
2025-11-22 16:08:25.467,MeanReversion,Sell,0.047000,84125.85,3953.91,3355937
2025-11-22 16:10:52.600,MeanReversion,Sell,0.047000,84182.77,3956.59,3356260
2025-11-22 16:11:44.821,MeanReversion,Sell,0.047000,84301.25,3962.16,3356408
2025-11-22 16:12:33.967,MeanReversion,Sell,0.047000,84305.33,3962.35,3356622
2025-11-22 16:13:22.901,MeanReversion,Sell,0.047000,84311.42,3962.64,3356681
2025-11-22 16:14:26.539,MeanReversion,Sell,0.047000,84314.54,3962.78,3356773
2025-11-22 16:15:13.355,MeanReversion,Sell,0.047000,84324.00,3963.23,3356901
2025-11-22 16:17:12.011,MeanReversion,Sell,0.047000,84395.05,3966.57,3357160
2025-11-22 16:18:01.548,MeanReversion,Sell,0.047000,84396.81,3966.65,3357294
2025-11-22 16:18:46.650,MeanReversion,Sell,0.047000,84398.05,3966.71,3357399
2025-11-22 16:20:04.996,MeanReversion,Buy,0.047000,84683.22,3980.11,3357629
2025-11-22 16:21:02.247,MeanReversion,Buy,0.047000,84678.27,3979.88,3357740
2025-11-22 16:21:50.874,MeanReversion,Sell,0.047000,84400.34,3966.82,3357839
2025-11-22 16:23:11.776,MeanReversion,Sell,0.047000,84402.38,3966.91,3357998
2025-11-22 16:24:01.992,MeanReversion,Sell,0.047000,84403.15,3966.95,3358095
2025-11-22 16:25:02.119,MeanReversion,Sell,0.047000,84403.92,3966.98,3358165
2025-11-22 16:25:53.255,MeanReversion,Sell,0.047000,84405.95,3967.08,3358289
2025-11-22 16:27:34.356,MeanReversion,Sell,0.047000,84408.58,3967.20,3358487
2025-11-22 16:28:22.469,MeanReversion,Sell,0.047000,84409.91,3967.27,3358551
2025-11-22 16:29:55.251,MeanReversion,Sell,0.047000,84414.28,3967.47,3358670
2025-11-22 16:34:53.676,MeanReversion,Buy,0.047000,84680.94,3980.00,3359388
2025-11-22 16:35:42.910,MeanReversion,Sell,0.047000,84422.94,3967.88,3359456
2025-11-22 16:36:32.444,MeanReversion,Buy,0.047000,84679.63,3979.94,3359557
2025-11-22 16:37:21.782,MeanReversion,Sell,0.047000,84424.35,3967.94,3359709
2025-11-22 16:40:21.210,MeanReversion,Buy,0.047000,84681.29,3980.02,3360091
2025-11-22 16:41:19.270,MeanReversion,Sell,0.047000,84430.05,3968.21,3360189
2025-11-22 16:45:25.146,OBI,Buy,0.035000,84874.94,2970.62,3360731
2025-11-22 16:45:31.699,MeanReversion,Sell,0.047000,84762.99,3983.86,3360779
